Дата;сбор;грязь;насечка
19.07.2019;546900;7200;6360
20.07.2019;537400;10800;5790
21.07.2019;545500;13680;4650
22.07.2019;558200;9000;6520
23.07.2019;546000;16200;6130
24.07.2019;548300;10440;6850
25.07.2019;543400;3360;6680
26.07.2019;535400;7200;5960
27.07.2019;551500;8640;7070
28.07.2019;551800;11040;6670
29.07.2019;559300;11520;6450
30.07.2019;553900;11880;6350
31.07.2019;544650;1080;6700
01.08.2019;560660;8640;6300
02.08.2019;554120;7200;5840
03.08.2019;557800;10800;6150
04.08.2019;564100;9360;5490
05.08.2019;534100;6840;6080
06.08.2019;567500;6480;7150
07.08.2019;544600;6480;6060
08.08.2019;554500;3600;6580
09.08.2019;551200;7920;6010
10.08.2019;555700;10080;5260
11.08.2019;566000;9720;4490
12.08.2019;550200;7200;6280
13.08.2019;556900;9000;7380
14.08.2019;565800;6480;7010
15.08.2019;554360;9360;7420
16.08.2019;540540;6120;6020
17.08.2019;562100;7560;6060
18.08.2019;553320;11160;4730
19.08.2019;566800;9000;6000
20.08.2019;554700;10080;7070
21.08.2019;540000;7200;7860
22.08.2019;548300;3960;7510
23.08.2019;525900;10440;5770
24.08.2019;564800;13680;4760
25.08.2019;550100;13320;4400
26.08.2019;565000;12240;7720
27.08.2019;542300;6840;7860
28.08.2019;541100;7200;7330
29.08.2019;540490;6480;6450
30.08.2019;535800;8640;6130
31.08.2019;548700;10080;5410
01.09.2019;538470;11160;6010
02.09.2019;551000;10800;5870
03.09.2019;541000;9000;6260
04.09.2019;531500;7200;6520
05.09.2019;538800;7560;6430
06.09.2019;536290;5040;6790
07.09.2019;531340;9000;7070
08.09.2019;542900;7560;6330
09.09.2019;556600;8640;5600
10.09.2019;541720;9720;6010
11.09.2019;543600;7200;5380
12.09.2019;558910;6840;4840
13.09.2019;552500;8280;4340
14.09.2019;555900;10080;5340
15.09.2019;559200;7920;4800
16.09.2019;571340;9360;6300
17.09.2019;563160;8640;5580
18.09.2019;560400;8280;5960
19.09.2019;567100;7560;6180
20.09.2019;565400;8280;6000
21.09.2019;561200;8280;5930
22.09.2019;548700;6840;4330
23.09.2019;578200;13680;5240
24.09.2019;548500;7560;5400
25.09.2019;548800;13680;4030
26.09.2019;542700;9360;4480
27.09.2019;545300;10080;4460
28.09.2019;537600;12240;3960
29.09.2019;546600;13320;2740
30.09.2019;549150;10080;6430
01.10.2019;547600;8640;5420
02.10.2019;558960;8640;6880
03.10.2019;538600;11520;5370
04.10.2019;549600;7920;5930
05.10.2019;552400;9360;5110
06.10.2019;572300;9000;4870
07.10.2019;567600;8280;6530
08.10.2019;563000;8280;5340
09.10.2019;580700;9720;4250
10.10.2019;583600;9720;4720
11.10.2019;572700;9720;4890
12.10.2019;594500;11880;4990
13.10.2019;594500;10440;3350
14.10.2019;599100;9720;4950
15.10.2019;594980;12240;4160
16.10.2019;600300;11160;4800
17.10.2019;34560;2520;0
18.10.2019;1009560;9360;5610
19.10.2019;756440;21600;6890
20.10.2019;585100;12240;3600
21.10.2019;582900;10440;4980
22.10.2019;599000;10800;3120
23.10.2019;602700;12240;5210
24.10.2019;584300;9360;4270
25.10.2019;583750;9720;4650
26.10.2019;588100;10080;3870
27.10.2019;586600;10800;4510
28.10.2019;595500;10080;5700
29.10.2019;591480;9000;4810
30.10.2019;592750;5760;4710
31.10.2019;582000;14760;4370
01.11.2019;597100;10800;4460
02.11.2019;598200;10440;4250
03.11.2019;550380;8640;3300
04.11.2019;638500;11520;3400
05.11.2019;589700;10440;4130
06.11.2019;601700;11520;4610
07.11.2019;599000;10080;4460
08.11.2019;603800;9720;3800
09.11.2019;605000;12960;4990
10.11.2019;610000;12240;4850
11.11.2019;619840;9360;4770
12.11.2019;619580;11520;4770
13.11.2019;611900;6840;4280
14.11.2019;602400;12600;4780
15.11.2019;600700;10440;4300
16.11.2019;607500;14760;5240
17.11.2019;611500;12240;4480
18.11.2019;615600;9720;4600
19.11.2019;605200;11160;4750
20.11.2019;605800;10080;5020
21.11.2019;550700;7200;4050
22.11.2019;659700;11880;5280
23.11.2019;610900;11520;4950
24.11.2019;613700;11880;4820
25.11.2019;604800;11520;4490
26.11.2019;627500;11520;5220
27.11.2019;608900;10440;3970
28.11.2019;601600;10440;4060
29.11.2019;597300;9000;4150
30.11.2019;624580;10800;4180
01.12.2019;604350;9360;4130
02.12.2019;608160;10080;5200
03.12.2019;604600;9720;4270
04.12.2019;596000;7920;4820
05.12.2019;607950;9000;5280
06.12.2019;597290;7200;7200
07.12.2019;607000;9720;7600
08.12.2019;609900;9720;5400
09.12.2019;603600;8640;5530
10.12.2019;610890;8640;5050
11.12.2019;599700;9720;4910
12.12.2019;598970;9360;4930
13.12.2019;601540;9360;4930
14.12.2019;601700;12960;4520
15.12.2019;608500;8280;4230
16.12.2019;609600;10440;4900
17.12.2019;606280;10440;5390
18.12.2019;602970;7920;3430
19.12.2019;603500;9360;4290
20.12.2019;606600;10440;5110
21.12.2019;613700;10800;3200
22.12.2019;609200;10440;3260
23.12.2019;624070;9720;4760
24.12.2019;617740;11520;4460
25.12.2019;614520;8640;4340
26.12.2019;605540;8280;4630
27.12.2019;613650;9000;4910
28.12.2019;603950;9360;5210
29.12.2019;624500;8280;4450
30.12.2019;610720;7920;6040
31.12.2019;617660;6840;6060
01.01.2020;619800;4680;4890
02.01.2020;621900;7920;6970
03.01.2020;619900;9000;4200
04.01.2020;623000;9720;5030
05.01.2020;624640;7920;4990
06.01.2020;616450;8640;5330
07.01.2020;615900;9720;4160
08.01.2020;617300;9360;3720
09.01.2020;630800;11520;4520
10.01.2020;621700;10800;3820
11.01.2020;600000;11880;2950
12.01.2020;611200;10800;4600
13.01.2020;642300;9000;4790
14.01.2020;610900;10440;4440
15.01.2020;607800;8640;4960
16.01.2020;614300;10080;3730
17.01.2020;618900;10080;4330
18.01.2020;617420;9720;4790
19.01.2020;619850;11520;3370
20.01.2020;610700;9720;5010
21.01.2020;609500;10080;5610
